Driver,Position
ANT,1.0
HAM,2.0
VER,3.0
LEC,4.0
HAD,5.0
COL,6.0
LAW,7.0
GAS,8.0
SAI,9.0
BEA,10.0
PIA,11.0
HUL,12.0
BOR,13.0
OCO,14.0
STR,15.0
BOT,16.0
PER,17.0
NOR,18.0
RUS,19.0
ALO,20.0
ALB,21.0
LIN,22.0
