Driver,SprintPosition
RUS,1.0
NOR,2.0
ANT,3.0
PIA,4.0
LEC,5.0
HAM,6.0
VER,7.0
LIN,8.0
COL,9.0
SAI,10.0
LAW,11.0
BOR,12.0
OCO,13.0
PER,14.0
HUL,15.0
STR,16.0
BOT,17.0
BEA,18.0
ALB,19.0
GAS,20.0
HAD,21.0
ALO,22.0
