Driver,Position
ANT,1.0
PIA,2.0
LEC,3.0
RUS,4.0
NOR,5.0
HAM,6.0
GAS,7.0
VER,8.0
LAW,9.0
OCO,10.0
HUL,11.0
HAD,12.0
BOR,13.0
LIN,14.0
SAI,15.0
COL,16.0
PER,17.0
ALO,18.0
BOT,19.0
ALB,20.0
STR,21.0
BEA,22.0
