Driver,Position
ANT,1.0
RUS,2.0
HAM,3.0
LEC,4.0
BEA,5.0
GAS,6.0
LAW,7.0
HAD,8.0
SAI,9.0
COL,10.0
HUL,11.0
LIN,12.0
BOT,13.0
OCO,14.0
PER,15.0
VER,16.0
ALO,17.0
STR,18.0
PIA,19.0
NOR,20.0
BOR,21.0
ALB,22.0
