Driver,SprintPosition
RUS,1.0
LEC,2.0
HAM,3.0
NOR,4.0
ANT,5.0
PIA,6.0
LAW,7.0
BEA,8.0
VER,9.0
OCO,10.0
GAS,11.0
SAI,12.0
BOR,13.0
COL,14.0
HAD,15.0
ALB,16.0
ALO,17.0
STR,18.0
PER,19.0
HUL,20.0
BOT,21.0
LIN,22.0
