Driver,Position
ANT,1.0
HAM,2.0
GAS,3.0
HAD,4.0
PIA,5.0
LAW,6.0
LIN,7.0
ALB,8.0
OCO,9.0
ALO,10.0
BOR,11.0
RUS,12.0
HUL,13.0
COL,14.0
PER,15.0
SAI,16.0
LEC,17.0
STR,18.0
NOR,19.0
BEA,20.0
BOT,21.0
VER,22.0
