Driver,Position
ANT,1.0
NOR,2.0
PIA,3.0
RUS,4.0
VER,5.0
HAM,6.0
COL,7.0
LEC,8.0
SAI,9.0
ALB,10.0
BEA,11.0
BOR,12.0
OCO,13.0
LIN,14.0
ALO,15.0
PER,16.0
STR,17.0
BOT,18.0
HUL,19.0
LAW,20.0
GAS,21.0
HAD,22.0
